cohort_month,cohort_index,customers,cohort_size,retention_rate
2017-04,12,1,2256,0.0004432624113475177
2017-04,13,1,2256,0.0004432624113475177
2017-04,14,2,2256,0.0008865248226950354
2017-04,15,2,2256,0.0008865248226950354
2017-04,16,3,2256,0.0013297872340425532
2017-05,0,3451,3451,1.0
2017-05,1,16,3451,0.004636337293538105
2017-05,2,16,3451,0.004636337293538105
2017-05,3,10,3451,0.0028977108084613156
2017-05,4,10,3451,0.0028977108084613156
2017-05,5,11,3451,0.003187481889307447
2017-05,6,14,3451,0.004056795131845842
2017-05,7,5,3451,0.0014488554042306578
2017-05,8,9,3451,0.002607939727615184
2017-05,9,9,3451,0.002607939727615184
2017-05,10,9,3451,0.002607939727615184
2017-05,11,12,3451,0.0034772529701535787
2017-05,12,8,3451,0.0023181686467690526
2017-05,13,1,3451,0.0002897710808461316
2017-05,14,6,3451,0.0017386264850767893
2017-05,15,7,3451,0.002028397565922921
2017-06,0,3037,3037,1.0
2017-06,1,15,3037,0.004939084622983207
2017-06,2,12,3037,0.003951267698386566
2017-06,3,13,3037,0.004280540006585446
2017-06,4,9,3037,0.0029634507737899243
2017-06,5,12,3037,0.003951267698386566
2017-06,6,11,3037,0.0036219953901876854
2017-06,7,7,3037,0.0023049061573921633
2017-06,8,4,3037,0.0013170892327955218
2017-06,9,6,3037,0.001975633849193283
2017-06,10,9,3037,0.0029634507737899243
2017-06,11,11,3037,0.0036219953901876854
2017-06,12,5,3037,0.0016463615409944023
2017-06,13,5,3037,0.0016463615409944023
2017-06,14,7,3037,0.0023049061573921633
2017-07,0,3752,3752,1.0
2017-07,1,20,3752,0.005330490405117271
2017-07,2,13,3752,0.003464818763326226
2017-07,3,9,3752,0.002398720682302772
2017-07,4,11,3752,0.002931769722814499
2017-07,5,8,3752,0.0021321961620469083
2017-07,6,12,3752,0.0031982942430703624
2017-07,7,4,3752,0.0010660980810234541
2017-07,8,7,3752,0.0018656716417910447
2017-07,9,10,3752,0.0026652452025586353
2017-07,10,8,3752,0.0021321961620469083
2017-07,11,11,3752,0.002931769722814499
2017-07,12,5,3752,0.0013326226012793177
2017-07,13,9,3752,0.002398720682302772
2017-08,0,4057,4057,1.0
2017-08,1,28,4057,0.006901651466600937
2017-08,2,14,4057,0.0034508257333004683
2017-08,3,11,4057,0.0027113630761646536
2017-08,4,14,4057,0.0034508257333004683
2017-08,5,21,4057,0.0051762385999507025
2017-08,6,12,4057,0.0029578506285432584
2017-08,7,11,4057,0.0027113630761646536
2017-08,8,6,4057,0.0014789253142716292
2017-08,9,6,4057,0.0014789253142716292
2017-08,10,10,4057,0.002464875523786049
2017-08,11,8,4057,0.001971900419028839
2017-08,12,5,4057,0.0012324377618930244
2017-09,0,4004,4004,1.0
2017-09,1,28,4004,0.006993006993006993
2017-09,2,22,4004,0.005494505494505495
2017-09,3,11,4004,0.0027472527472527475
2017-09,4,18,4004,0.004495504495504496
2017-09,5,9,4004,0.002247752247752248
2017-09,6,9,4004,0.002247752247752248
2017-09,7,10,4004,0.0024975024975024975
2017-09,8,11,4004,0.0027472527472527475
2017-09,9,7,4004,0.0017482517482517483
2017-09,10,10,4004,0.0024975024975024975
2017-09,11,3,4004,0.0007492507492507493
2017-10,0,4328,4328,1.0
2017-10,1,31,4328,0.007162661737523105
2017-10,2,11,4328,0.0025415896487985213
2017-10,3,4,4328,0.0009242144177449168
2017-10,4,10,4328,0.0023105360443622922
2017-10,5,9,4328,0.0020794824399260627
2017-10,6,9,4328,0.0020794824399260627
2017-10,7,16,4328,0.0036968576709796672
2017-10,8,12,4328,0.0027726432532347504
2017-10,9,8,4328,0.0018484288354898336
2017-10,10,9,4328,0.0020794824399260627
2017-11,0,7060,7060,1.0
2017-11,1,40,7060,0.0056657223796034
2017-11,2,26,7060,0.0036827195467422098
2017-11,3,12,7060,0.0016997167138810198
2017-11,4,12,7060,0.0016997167138810198
2017-11,5,13,7060,0.0018413597733711049
2017-11,6,8,7060,0.0011331444759206798
2017-11,7,13,7060,0.0018413597733711049
2017-11,8,9,7060,0.0012747875354107649
2017-11,9,4,7060,0.0005665722379603399
2017-12,0,5338,5338,1.0
2017-12,1,11,5338,0.0020606968902210565
2017-12,2,15,5338,0.002810041213937804
2017-12,3,18,5338,0.0033720494567253652
2017-12,4,14,5338,0.0026227051330086175
2017-12,5,11,5338,0.0020606968902210565
2017-12,6,9,5338,0.0016860247283626826
2017-12,7,1,5338,0.00018733608092918696
2017-12,8,10,5338,0.0018733608092918695
2018-01,0,6842,6842,1.0
2018-01,1,23,6842,0.0033615901783104357
2018-01,2,25,6842,0.0036539023677287343
2018-01,3,20,6842,0.0029231218941829875
2018-01,4,20,6842,0.0029231218941829875
2018-01,5,11,6842,0.001607717041800643
2018-01,6,12,6842,0.0017538731365097924
2018-01,7,16,6842,0.00233849751534639
2018-02,0,6288,6288,1.0
2018-02,1,22,6288,0.003498727735368957
2018-02,2,25,6288,0.003975826972010178
2018-02,3,19,6288,0.0030216284987277355
2018-02,4,16,6288,0.002544529262086514
2018-02,5,14,6288,0.0022264631043256997
2018-02,6,13,6288,0.0020674300254452924
2018-03,0,6774,6774,1.0
2018-03,1,27,6774,0.003985828166519044
2018-03,2,20,6774,0.002952465308532625
2018-03,3,20,6774,0.002952465308532625
2018-03,4,8,6774,0.00118098612341305
2018-03,5,8,6774,0.00118098612341305
2018-04,0,6582,6582,1.0
2018-04,1,39,6582,0.005925250683682771
2018-04,2,20,6582,0.003038590094196293
2018-04,3,16,6582,0.002430872075357034
2018-04,4,9,6582,0.0013673655423883319
2018-05,0,6506,6506,1.0
2018-05,1,34,6506,0.00522594528127882
2018-05,2,17,6506,0.00261297264063941
2018-05,3,12,6506,0.0018444512757454657
2018-06,0,5878,5878,1.0
2018-06,1,25,5878,0.004253147329023477
2018-06,2,16,5878,0.0027220142905750254
2018-07,0,5949,5949,1.0
2018-07,1,31,5949,0.005210959825180703
2018-08,0,6144,6144,1.0
